Year,Forecast_Mean,Lower_5_percentile,Upper_95_percentile
2025,2478.7788370757476,1818.0862581056954,3171.6802393773933
2026,2485.692887896535,1789.1275577155654,3127.406468756653
2027,2509.7560414552313,1827.3604387702771,3202.2346150304
2028,2478.2251670468654,1798.760832111168,3181.3145022539184
2029,2485.6123693482364,1843.977145727147,3190.9675319806292
